ID;TIME;SATISFACAO;ATIVIDADE;COMUNICACAO
Dev_52;interactive;0.1260455390334571;0.1368586688339226;0.1809445359692476
Dev_54;maintenance-packages;0.1027184014869887;0.1332604163106265;0.0908841295991213
Dev_55;docs;0.1491967604885819;0.1301739754588645;0.2298187808896211
Dev_56;docs;0.1623891907349156;0.1294505018741953;0.4172158154859967
Dev_58;roslyn;0.1229347377116893;0.1279733960098036;0.0601317957166392
Dev_60;fsharp;0.1589374225526641;0.1250640872269884;0.2384678747940692
Dev_61;roslyn;0.1621437422552664;0.1241506600837052;0.200439319055464
Dev_62;orleans;0.1229089219330854;0.1237712844990339;0.0391268533772652
Dev_64;installer;0.1550278810408921;0.1233892743616912;0.1584294343767161
Dev_68;roslyn;0.1223048327137546;0.1206171351262282;0.1540362438220757
Dev_69;runtime;0.1348261307311027;0.1185759466311732;0.4842119714442613
Dev_76;runtime;0.1027532527881039;0.1128932877232429;0.0882756727073036
Dev_78;aspnetcore;0.1485661178969728;0.1111721126568;0.1632344865458539
Dev_79;INDEFINIDO;0.1177199504337049;0.1105919347607108;0.1076331685886875
Dev_81;core;0.1388274891992362;0.1097993642547082;0.4858594179022515
Dev_82;maintenance-packages;0.1587740790807704;0.1095282752845472;0.2486271279516749
Dev_83;roslyn;0.1828531598513011;0.1084169957260157;0.1188907193849533
Dev_84;tye;0.1015334572490704;0.1063188785101489;0.1330313014827018
Dev_85;dotnet-api-docs;0.1011462205700122;0.1057369331970282;0.1193025809994508
Dev_88;INDEFINIDO;0.2329545454545454;0.1039180515699698;0.2064799560680944
Dev_89;INDEFINIDO;0.1602643535729036;0.1036694702911334;0.3017572762218561
Dev_94;AspNetCore.Docs;0.3193773234200741;0.1005756289595853;0.2844590884129599
Dev_96;docs;0.2901951672862453;0.0979692283653728;0.1514277869302581
Dev_98;INDEFINIDO;0.1542419012214551;0.0966932305483763;0.0785282811641955
Dev_100;msbuild;0.1405246704967893;0.09453940574698;0.2445085118066996
Dev_101;roslyn;0.098425882899628;0.0944222452030959;0.0624656781987918
